year,week,observed_rows,filled_rows,longest_synthetic_streak_seconds,status
2023,25,604665,135,131,saved
2023,26,604786,14,11,saved
2023,27,604789,11,4,saved
2023,28,590637,14163,14012,skipped_quality
2023,29,583894,20906,20805,skipped_quality
2023,30,532523,72277,28800,skipped_quality
2023,31,595337,9463,5745,skipped_quality
2023,32,604477,323,141,saved
2023,33,604462,338,160,saved
2023,34,604771,29,11,saved
2023,35,604779,21,4,saved
2023,36,604758,42,11,saved
2023,37,603967,833,412,saved
2023,38,604770,30,11,saved
2023,39,604769,31,11,saved
2023,40,604780,20,11,saved
2023,41,603963,837,806,saved
2023,42,604756,44,12,saved
2023,43,604775,3625,3600,skipped_quality
2023,44,604780,20,12,saved
2023,45,603050,1750,1716,saved
2023,46,604354,446,417,saved
2023,47,604778,22,12,saved
2023,48,604758,42,11,saved
2023,49,604761,39,11,saved
2023,50,604363,437,411,saved
2023,51,604755,45,11,saved
2023,52,604772,28,11,saved
2024,1,604785,15,4,saved
2024,2,604356,444,418,saved
2024,3,604321,479,425,saved
2024,4,604752,48,21,saved
2024,5,604156,644,414,saved
2024,6,604737,63,11,saved
2024,7,604348,452,430,saved
2024,8,604782,18,11,saved
2024,9,604764,36,11,saved
2024,10,604757,43,11,saved
2024,11,604309,491,420,saved
2024,12,604778,22,11,saved
2024,13,601150,3650,3600,skipped_quality
2024,14,604595,205,169,saved
2024,15,604300,500,427,saved
2024,16,604770,30,11,saved
2024,17,604755,45,21,saved
2024,18,604755,45,11,saved
2024,19,604778,22,11,saved
2024,20,604365,435,423,saved
2024,21,604325,475,422,saved
2024,22,604760,40,11,saved
2024,23,604788,12,3,saved
2024,24,604373,427,414,saved
2024,25,604764,36,11,saved
2024,26,604758,42,22,saved
2024,27,604754,46,11,saved
2024,28,604170,630,417,saved
2024,29,604778,22,11,saved
2024,30,604754,46,12,saved
2024,31,604755,45,11,saved
2024,32,604791,9,1,saved
2024,33,604327,473,423,saved
2024,34,604673,127,51,saved
2024,35,604749,51,11,saved
2024,36,604760,40,6,saved
2024,37,604355,445,426,saved
2024,38,604726,74,51,saved
2024,39,604767,33,12,saved
2024,40,604750,50,12,saved
2024,41,604258,542,423,saved
2024,42,604716,84,60,saved
2024,43,604796,3604,3600,skipped_quality
2024,44,604793,7,1,saved
2024,45,604765,35,11,saved
2024,46,604281,519,472,saved
2024,47,604732,68,53,saved
2024,48,604761,39,11,saved
2024,49,604394,406,23,saved
2024,50,604362,438,411,saved
2024,51,604727,73,51,saved
2024,52,604759,41,11,saved
2025,1,604785,15,2,saved
2025,2,604773,27,11,saved
2025,3,604352,448,434,saved
2025,4,604711,89,53,saved
2025,5,604753,47,12,saved
2025,6,604770,30,11,saved
2025,7,604361,439,415,saved
2025,8,604163,637,557,saved
2025,9,604784,16,11,saved
2025,10,604781,19,7,saved
2025,11,604359,441,422,saved
2025,12,604709,91,57,saved
2025,13,600958,3842,3600,skipped_quality
2025,14,604789,11,1,saved
2025,15,604339,461,416,saved
2025,16,604670,130,55,saved
2025,17,604768,32,11,saved
2025,18,604795,5,2,saved
2025,19,604794,6,4,saved
2025,20,603952,848,419,saved
